Aaron
Loghin
Luca
Lucaci
Lucescu
Lungu
Lupan
Lupaș
Lupașcu
Lupescu
Lupu
Lupul
Lupulescu
Macedonski
Macovei
Maftei
Magheru
Maior
Manea
Mănescu
Maniu
Manolache
Manole
Manolescu
Manoliu
Manu
Mărăcineanu
Marcovici
Marcu
Marculescu
Mardare
Mărdărescu
Mărginean
Mărgineanu
Marian
Marin
Marinescu
Martinescu
Matei
Miclăuș
Micle
Miclea
Micu
Miculescu
Mihăescu
Mihai
Mihăilă
Mihăilescu
Mihalache
Mihalcea
Militaru
Minovici
Mirea
Miroiu
Mironescu
Mititelu
Mitrea
Mitriță
Mitrofan
Mitu
Mocanu
Moceanu
Moculescu
Moga
Moise
Moisil
Moisuc
Moldovan
Moldovanu
Moldoveanu
Morar
Morariu
Moraru
Moroșanu
Moscovici
Movilă
Mungiu
Muntean
Munteanu
Murariu
Mureșan
Mureșanu
Murgoci
Mușat
Musicescu
Naghi
Năstase
Naum
Neacșu
Neagoe
Neagu
Nechita
Necula
Negoiță
Negoiţescu
Negreanu
Negrescu
Negru
Negruzzi
Negulescu
Nemeș
Nemescu
Nenițescu
Nichita
Nicoară
Nicolae
Nicolaescu
Nicolau
Nicolescu
Nicu
Nicula
Niculae
Niculescu
Nistor
Niță
Nuta
Oanță
Odobescu
Olaru
Olinescu
Oltean
Olteanu
Onciul
Oprea
Oprescu
Orășanu
Oros
Otvoș
Păcuraru
Păduraru
Palade
Paler
Pamfil
Panait
Panaitescu
Paraschiv
Pârvulescu
Pascu
Pâslaru
Pătrașcu
Păun
Păunescu
Pavel
Pavelescu
Pavlovici
Pellea
Pescaru
Petcu
Petrache
Petre
Petrencu
Petrescu
Petrovici
Pillat
Pintea
Pintilie
Pippidi
Pîrvulescu
Pițurcă
Plămădeală
Poenaru
Poénaru
Pogonat
Poienaru
Pop
Popa
Popea
Popescu
Popovici
Potra
Preda
Predescu
Predoiu
Pricop
Proca
Prodan
Puiu
Pușcariu
Pușcaș
Răceanu
Racoviță
Rădoi
Radu
Răducan
Răducanu
Rădulescu
Rațiu
Rebreanu
Rednic
Robu
Romanescu
Roșca
Rosetti
Rotariu
Rotaru
Rudeanu
Rus
Rusescu
Rusu
Sabău
Sadoveanu
Săftoiu
Șalaru
Șandru
Sandu
Sârbu
Sasu
Sătmăreanu
Săulescu
Sava
Săvescu
Savin
Savu
Săvulescu
Scarlat
Șerb
Șerban
Șerbănescu
Șerbu
Serghei
Silaghi
Sima
Simion
Simionescu
Simu
Skutnik
Socolescu
Șoltuz
Sperantia
Spîrlea
Staicu
Stan
Stanciu
Stancu
Stănculescu
Stănescu
Ștefan
Ștefănescu
Stefu
Sterca-Șuluțiu
Știrbei
Stoenescu
Stoian
Stoica
Stolojan
Stratulat
Stroe
Stroescu
Suciu
Șuluțiu
Surdu
Surugiu
Șuteu
Tamaș
Tămaș
Tănase
Tănăsescu
Taran
Țăranu
Tătaru
Tcaci
Teodoreanu
Teodorescu
Teohari
Țepeș
Theodorescu
Timofte
Tismăneanu
Țițeica
Toader
Todoran
Toma
Tomoiagă
Torje
Trifa
Trifan
Tudor
Tudorache
Tudoran
Tudose
Țurcan
Țurcanu
Turcescu
Turcu
Turea
Turei
Udrea
Ungur
Ungureanu
Ursu
Văduva
Vaida
Vântu
Vasilache
Vasile
Vasilescu
Vasiliu
Velculescu
Vereș
Vernescu
Vianu
Vieru
Vintilă
Vizitiu
Vlădescu
Vlaicu
Voicu
Voiculescu
Voiculeț
Voinea
Voinescu
Voinov
Vulcan
Xenopol
Zaharia
Zamfir
Zamfirescu
Zidaru
Zugrăvescu
