Name,Meaning in English,Source Name,Gender,Source
Mauhcaxochitl,scared flower,Blog,female,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Maya,,Blog,unisex,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Mecahuehue,,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Memexoltzin,,Wikipedia,male,https://en.wikipedia.org/wiki/Acolmiztli_(Coatl_Ichan)
Metzaol,maguey scraping,Blog,unisex,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Metztli,Goddess of night,Baby Names,female,https://www.momjunction.com/baby-names/aztec/girl/
Mexicatl,mexican (Person from Mexihko-Tenochtitlan),Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Miahuaxihuitl,,Wikipedia,female,https://en.wikipedia.org/wiki/Huitzilihuitl
Mictlantecuhtli,Lord of Mictlan,Baby Names,male,https://www.momjunction.com/baby-names/aztec/boy/
Milli,cornfield,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Mimich,little fish,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Miquiz,"death, maybe a day-sign, probably male",Blog,unisex,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Mito,,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Mixcoatl,cloud serpent (Name of a deity),Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Mixcoatlailotlac,clearly includes the name of the deity mixcoatl,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Miyahuaxochtzin,,Wikipedia,female,https://en.wikipedia.org/wiki/Huitzilihuitl
Miyaoaxochitl,Maize tassel flower,Baby Names,female,https://www.momjunction.com/baby-names/aztec/girl/
Mizquixaual,Mesquite face paint,Baby Names,female,https://www.momjunction.com/baby-names/aztec/girl/
Mizyaotl,cat enemy,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Mocauhqui,herself behind,Blog,unisex,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Mocel,she is alone,Blog,female,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Moctezuma,Son of Huitzilihuitl.,Wikipedia,male,https://en.wikipedia.org/wiki/List_of_Tenochtitlan_rulers
Molotecatl,person from molotlan,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Molotl,,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Montezuma,The archer Lord in an angry state. The last ruler of Aztec,Baby Names,male,https://www.momjunction.com/baby-names/aztec/boy/
Motolinia,he torments himself,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Mozocomatzin,,Wikipedia,male,https://en.wikipedia.org/wiki/Acolmiztli_(Coatl_Ichan)
Nacxitl,"This word is of unkown meaning, but probably contains the word ikxitl foot",Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Nahualquizqui,he came out of sorcery,Blog,unisex,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Nahuatl,clear sound,Blog,female,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Namiton	 ,"little spouse, probably a nickname for a child",Blog,unisex,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Nanacacipactzin,"Son of Acamapichtli, a son of Ahuitzotl. Installed by the Spanish colonial authorities. Last tlatoani and last hereditary ruler of Tenochtitlan.",Wikipedia,male,https://en.wikipedia.org/wiki/List_of_Tenochtitlan_rulers
Nauhyotl,fourth,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Necahual,"someone who has parted, survivor",Blog,female,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Nencahuitl,time in vain,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Nenetl,Doll,Baby Names,female,https://www.momjunction.com/baby-names/aztec/girl/
Nenetzin,,Wikipedia,female,https://en.wikipedia.org/wiki/Acolmiztli_(Coatl_Ichan)
Nequametl,juicy maguey,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Netzahualcoyotl,Hungry coyote,Baby Names,male,https://www.momjunction.com/baby-names/aztec/boy/
Nezahualcoyotl Acolmiztli,,Wikipedia,male,https://en.wikipedia.org/wiki/List_of_Tetzcoco_rulers
Nezahualpilli,,Wikipedia,male,https://en.wikipedia.org/wiki/List_of_Tetzcoco_rulers
Nochehuatl,Constant,Baby Names,male,https://www.momjunction.com/baby-names/aztec/boy/
