http://www.wikidata.org/entity/Q21548232,Alce,one of Actaeon's dogs
http://www.wikidata.org/entity/Q763268,Alcyone,"Greek mythological figure; one of the Pleiades, daughters of Atlas"
http://www.wikidata.org/entity/Q653681,Alcyoneus,giant in Greek mythology
http://www.wikidata.org/entity/Q2742049,Alignak,Inuit deity
http://www.wikidata.org/entity/Q867336,Alkonost,fictional bird
http://www.wikidata.org/entity/Q4733856,Almo,Ancient Roman river god
http://www.wikidata.org/entity/Q74189894,Alopex,fictional Teenage Mutant Ninja Turtles character
http://www.wikidata.org/entity/Q2529990,Alp,nightmare creature originating in German folklore
http://www.wikidata.org/entity/Q911084,Alpheus,river and river god in Greek mythology
http://www.wikidata.org/entity/Q926123,Alpos,"giant in Greek mythology, son of Uranus and Gaea"
http://www.wikidata.org/entity/Q2840148,Alraune,German mythological creature
http://www.wikidata.org/entity/Q432825,Alsviðr,fictional horse
http://www.wikidata.org/entity/Q15303576,Alukah,Biblical monster
http://www.wikidata.org/entity/Q4738985,Amabie,legendary Japanese mermaid or merman
http://www.wikidata.org/entity/Q2840329,Amala,giant in Tshmshian mythology
http://www.wikidata.org/entity/Q107785,Amalthea,Oceanid of Greek mythology
http://www.wikidata.org/entity/Q455210,Amarok,name of a gigantic wolf in Inuit mythology
http://www.wikidata.org/entity/Q12898684,Amatheia,Nereid of Greek mythology
http://www.wikidata.org/entity/Q2782192,Ambisagrus,Gaulish god identified with Jupiter
http://www.wikidata.org/entity/Q4741727,Ambriel,Angel associated with the Sun sign Gemini
http://www.wikidata.org/entity/Q3613853,Ambrosia,a nymph in Greek mythology
http://www.wikidata.org/entity/Q955406,Ameonna,water deity
http://www.wikidata.org/entity/Q2746309,Amikiri,type of Japanese Yōkai
http://www.wikidata.org/entity/Q101231178,Amikuk,Mythical creature from Inuit folklore
http://www.wikidata.org/entity/Q695386,Amimitl,Aztec water deity
http://www.wikidata.org/entity/Q474474,Ampelos,deity
http://www.wikidata.org/entity/Q21452535,Amphinome,"Greek mythical character, Nereid"
http://www.wikidata.org/entity/Q2197827,Amphiro,One of the Oceanids
http://www.wikidata.org/entity/Q12898698,Amphithoe,Nereid of Greek mythology
http://www.wikidata.org/entity/Q180222,Amphitrite,Oceanid of Greek mythology
http://www.wikidata.org/entity/Q4748435,Amphryssos,ancient river in Greece
http://www.wikidata.org/entity/Q108440224,Amru bin Jabir Al-Jinni,One of the companions of the jinn.
http://www.wikidata.org/entity/Q3231630,Amy,Goetic demon
http://www.wikidata.org/entity/Q4749481,Amycus,centaur in Greek mythology
http://www.wikidata.org/entity/Q484278,Anahita,Iranian goddess
http://www.wikidata.org/entity/Q43371392,Anane,fallen angel in Christian mythology
http://www.wikidata.org/entity/Q486110,Anapos,water deity
http://www.wikidata.org/entity/Q2303713,Anax,giant in Greek mythology
http://www.wikidata.org/entity/Q488887,Ancamna,water deity
http://www.wikidata.org/entity/Q3615218,Ancio,centaur
http://www.wikidata.org/entity/Q862248,Angel Moroni,angel who allegedly visited Joseph Smith many times
http://www.wikidata.org/entity/Q1465739,Angel of Death,biblical figure sent to kill enemies of the Israelites
http://www.wikidata.org/entity/Q2006970,Anguirus,fictional monster in Godzilla films
http://www.wikidata.org/entity/Q65070657,Anqa,Female satanic eagle with human-face from Arabian and Turkish myths
http://www.wikidata.org/entity/Q2528496,Antero Vipunen,"Deceased, wise giant in Finnish mythology"
http://www.wikidata.org/entity/Q29686726,Anthracia,Arcadian nymph in Greek mythology
http://www.wikidata.org/entity/Q21548693,Anthédon,naiad
http://www.wikidata.org/entity/Q772202,Anti,ancient Egyptian god
http://www.wikidata.org/entity/Q574828,Antianeira,"mythical character, nymph, daughter of Pheres"
http://www.wikidata.org/entity/Q21548750,Antimachus,mythical centaur
http://www.wikidata.org/entity/Q47534,Anubis,"Egyptian deity of mummification and the afterlife, usually depicted as a man with a canine head"
http://www.wikidata.org/entity/Q24913957,Anxurus,deity
http://www.wikidata.org/entity/Q614030,Anytos,deity
http://www.wikidata.org/entity/Q511292,Anzar,Berber deity
http://www.wikidata.org/entity/Q2373471,Ao,Chinese mythological turtle
http://www.wikidata.org/entity/Q85742167,Ao Run,deity in Chinese folk religion
http://www.wikidata.org/entity/Q3108877,Aobōzu,Japanese yōkai
http://www.wikidata.org/entity/Q21153021,Aora,nymph
http://www.wikidata.org/entity/Q2858114,Apalala,Nāga in Buddhist mythology
http://www.wikidata.org/entity/Q2358219,Apam Napat,Deity in the Indo-Iranian pantheon
http://www.wikidata.org/entity/Q448351,Apasmara,demon of ignorance in hinduism
http://www.wikidata.org/entity/Q26806435,Aphareus,a centaur
http://www.wikidata.org/entity/Q2181932,Apotamkin,creature in Native American mythology
http://www.wikidata.org/entity/Q12898780,Apseudes,Nereid of Greek mythology
http://www.wikidata.org/entity/Q4783841,Arakiel,fallen angel
http://www.wikidata.org/entity/Q4784473,Arausio,Celtic water god
http://www.wikidata.org/entity/Q2614157,Archon,demonic entities subordinate to the embodiment of evil in the corresponding belief-system
http://www.wikidata.org/entity/Q643456,Arethusa,Nereid of Greek mythology
http://www.wikidata.org/entity/Q55484966,Areus,centaur
http://www.wikidata.org/entity/Q644354,Argeia,Oceanid of Greek mythology
http://www.wikidata.org/entity/Q420269,Arges,cyclops in greek mythology
http://www.wikidata.org/entity/Q106076725,Argie,One of the Oceanids
http://www.wikidata.org/entity/Q3622436,Argiope,"Greek nymph, mother of Thamyris"
http://www.wikidata.org/entity/Q519334,Argos,fictional dog of Odysseus
http://www.wikidata.org/entity/Q55542316,Argus,mythological dog
http://www.wikidata.org/entity/Q3560453,Argyra,"Greek nymph, one of the Naiads"
http://www.wikidata.org/entity/Q658560,Ariel,archangel found primarily in Jewish and Christian mysticism and Apocrypha
http://www.wikidata.org/entity/Q842435,Arion,mythical creature
http://www.wikidata.org/entity/Q2861418,Aristaeus,giant in Greek mythology
http://www.wikidata.org/entity/Q91470092,Armisael,Angel from Neon Genesis Evangelion Universe
http://www.wikidata.org/entity/Q1971830,Arnakuagsak,inuit deity
http://www.wikidata.org/entity/Q1971615,Arnapkapfaaluk,Inuit deity
http://www.wikidata.org/entity/Q693232,Arnemetia,water deity
http://www.wikidata.org/entity/Q17192118,Arukuma,mascot character of Nagano Prefecture
http://www.wikidata.org/entity/Q720380,Asag,demon
http://www.wikidata.org/entity/Q4803671,Asbeel,fallen angel
http://www.wikidata.org/entity/Q74055,Asbolus,centaur of Greek mythology
http://www.wikidata.org/entity/Q12649338,Ascanius,Greek river god
http://www.wikidata.org/entity/Q4803789,Ascapart,legendary giant from English folklore
http://www.wikidata.org/entity/Q723668,Asena,mythical creature
http://www.wikidata.org/entity/Q907685,Ash,ancient Egyptian god
http://www.wikidata.org/entity/Q724824,Ashaqlun,Manichean demon
http://www.wikidata.org/entity/Q3109182,Ashi-magari,"ghostly phenomenon from the folklore of Kagawa Prefecture on Shikoku, Japan"
http://www.wikidata.org/entity/Q51846366,Asia,Nereid of Greek mythology
http://www.wikidata.org/entity/Q605744,Asia,Oceanid of Greek mythology
http://www.wikidata.org/entity/Q2866625,Asiaq,inuit deity
http://www.wikidata.org/entity/Q733322,Asmodeus,king of demons from the deuterocanonical Book of Tobit
http://www.wikidata.org/entity/Q622781,Asopus,river god of Greek mythology
http://www.wikidata.org/entity/Q2293613,Aspidochelone,Fabled sea creature
http://www.wikidata.org/entity/Q830172,Astaroth,Great duke of Hell in demonology
http://www.wikidata.org/entity/Q18642285,Asteria,daughter of the Titans Coeus and Phoebe and sister of Leto
http://www.wikidata.org/entity/Q4810678,Asterion,river-god of Argos
http://www.wikidata.org/entity/Q10420712,Asterius,mythical figure of Miletus
http://www.wikidata.org/entity/Q9635388,Asterope,"Greek nymph, one of the Hesperides"
http://www.wikidata.org/entity/Q2992141,Astghik,deity
http://www.wikidata.org/entity/Q250588,Astraeus,deity
http://www.wikidata.org/entity/Q8193547,Astris,"in Greek mythology, one of the Heliades"
http://www.wikidata.org/entity/Q4812617,Atabey,deity
http://www.wikidata.org/entity/Q4072020,Atanua,marquesan dawn goddess
