mythicalCreature,mythicalCreatureLabel,mythicalCreatureDescription
http://www.wikidata.org/entity/Q21548060,Aethon,"AETHON , ónis , eines von den Pferden der Morgenröthe. Serv. ad Virg. Aen. XI. v. 89. & Caud. Cons. IV. Hon. v. 561 ."
http://www.wikidata.org/entity/Q21548065,Aethon,"AETHON , ónis , eines von den vier Pferden des Pluto, wovon die andern Orphnäus, Nykteus und Alastor heißen. Claud. de Rapt. Proserp. lib. I. v. 282 ."
http://www.wikidata.org/entity/Q410531,Aethra,Okeanide der griechischen Mythologie
http://www.wikidata.org/entity/Q21548035,Aethíon,"AETHÍON , ŏnis , ein Pferd des Euneus, in dem Kriege vor Theben , das den Namen von αἴθω, ich brenne , hat, und daher so viel, als ein feuriges Roß bedeutet. Stat. Thebaid. VI. v. 465. & ad eum Barthius l. c ."
http://www.wikidata.org/entity/Q390448,Aganippe,Najade der Griechischen Mythologie
http://www.wikidata.org/entity/Q390597,Agares,Dämon
http://www.wikidata.org/entity/Q390815,Agasthenes,Gigant aus der griechischen Mythologie
http://www.wikidata.org/entity/Q381459,Agave,Person der griechischen Mythologie
http://www.wikidata.org/entity/Q391614,Agave,Nereide der griechischen Mythologie
http://www.wikidata.org/entity/Q394161,Aglaia,Gattin des Charopos
http://www.wikidata.org/entity/Q3361417,Aglaope,eine der Sirenen
http://www.wikidata.org/entity/Q21548117,Aglaophónos,"AGLAOPHÓNOS , i, Gr . Ἀγλαόφωνος, ου, ( ⇒ Tab. III.) eine von den Sirenen, wovon die andern Thelxiope und Molpe geheißen haben sollen. Chærilus ap. Natal. com. lib."
http://www.wikidata.org/entity/Q3606663,Agno,In der griechischen Mythologie die Nymphe einer arkadischen Quelle
http://www.wikidata.org/entity/Q21548147,Agre,"AGRE , es , einer von Aktäons Hunden, welche ihn endlich selbst, als er in einen Hirsch verwandelt worden, zerrissen und fraßen. Ovid. Metam . III. v. 212. & Hygin. Fab. 181 . Er soll von ἄγρα, die Jagd , den Namen haben"
http://www.wikidata.org/entity/Q21548159,Agriodus,"AGRIŎDOS , i , einer von des Aktäons vielen Hunden, welche ihn endlich, da er von der Diana in einen Hirsch verwandelt worden war, selbst zerrissen. Ovid. Metam . III. v. 224. & Hygin. Fab. 181 ."
http://www.wikidata.org/entity/Q518658,Agrius,Kentaur
http://www.wikidata.org/entity/Q14912115,Agrius,"Figur der griechischen Mythologie, Gigant"
http://www.wikidata.org/entity/Q4696456,Ahöla,Geistwesen  in der Hopi-Religion
http://www.wikidata.org/entity/Q21286569,Aigeiros,"Hamadryade, Tochter der Hamadryas und des Oxylos"
http://www.wikidata.org/entity/Q440861,Airaavatha,hinduistisches Reittier des Schöpfergottes Indra
http://www.wikidata.org/entity/Q5695424,Aix,Nymphe
http://www.wikidata.org/entity/Q547968,Akhkhazu,Dämon aus der sumerischen und akkadischen Mythologie
http://www.wikidata.org/entity/Q21548208,Alastor,"ALASTOR , ŏris , eines von den vier Pferden des Pluto, wovon die andern 3 Orphnäus, Aethon und Nycteus hießen. Claud. de Rapt. Proserp. lib. I. v. 286 ."
http://www.wikidata.org/entity/Q948021,Albert Quackmore,Butler von Dagobert Duck
http://www.wikidata.org/entity/Q21548232,Alce,"ALCE , es , einer von Aktäons Hunden, welche endlich ihren Herrn selber anfielen und zerrissen, nachdem ihn Diana in einen Hirsch verwandelt hatte. Hygin. Fab. 181. & Ovid. Metam . III. v. 217 . Den Namen hat er von ἀλκὴ"
http://www.wikidata.org/entity/Q763268,Alcyone,Plejade der griechischen Mythologie
http://www.wikidata.org/entity/Q653681,Alcyoneus,Gigant der griechischen Mythologie
http://www.wikidata.org/entity/Q2141167,Allocer,Großherzog der Unterwelt
http://www.wikidata.org/entity/Q4733856,Almo,Flussgott
http://www.wikidata.org/entity/Q74189894,Alopex,fiktive Figur aus Teenage Mutant Ninja Turtles
http://www.wikidata.org/entity/Q911084,Alpheus,in der griechischen Mythologie der Gott des durch Arkadien und Elis fließenden Flusses Alpheios
http://www.wikidata.org/entity/Q107785,Amalthea,Nymphe der Griechischen Mythologie
http://www.wikidata.org/entity/Q455210,Amarok,Name eines riesigen Wolfes aus der Mythologie der Inuit
http://www.wikidata.org/entity/Q21548410,Amarynthus,"AMARYNTHVS , i, Gr . Ἀμάρυνθος, ου, einer von des Aktäons Hunden, welche ihn endlich selbst zerrissen und fraßen, nachdem er in einen Hirsch war verwandelt worden. Apollod. lib."
http://www.wikidata.org/entity/Q12898684,Amatheia,"AMATHÉA , æ, Græc . Ἀμάθεια, ας, ( ⇒ Tab. III.) eine von des Nereus und der Doris 50 Töchtern, oder den so genannten Nereiden. Homer. Il. Σ v. 48. Sie wird lateinisch auch Amathi"
http://www.wikidata.org/entity/Q3613853,Ambrosia,Nymphe der Griechischen Mythologie
http://www.wikidata.org/entity/Q474474,Ampelos,"griechische Gottheit, Geliebter des Dionysos"
http://www.wikidata.org/entity/Q12748314,Ampelus,"Hamadryade, Tochter der Hamadryas und des Oxylos"
http://www.wikidata.org/entity/Q21452535,Amphinome,"Figur der griechischen Mythologie, Nereide"
http://www.wikidata.org/entity/Q21548518,Amphirrhöe,"AMPHIRRHÖE , es, Gr . Ἀμφιῤῥόη, ης, eine Nymphe, die, dem Namen nach, mit voriger einerley bedeutet. Gyrald. Syntagm. V. pag. 180 ."
http://www.wikidata.org/entity/Q12898698,Amphithoe,"AMPHITHÖE , es , ( ⇒ Tab. IV.) des Nereus und der Doris Tochter, eine von den 50 Meernymphen Hygin. Præf. p. 6 ."
http://www.wikidata.org/entity/Q180222,Amphitrite,Okeanide der griechischen Mythologie
http://www.wikidata.org/entity/Q4748435,Amphryssos,Fluss in Griechenland
http://www.wikidata.org/entity/Q4749481,Amycus,Kentaur der griechischen Mythologie
http://www.wikidata.org/entity/Q4749584,Amyrus,Flussgott der griechischen Mythologie
http://www.wikidata.org/entity/Q484278,Anahita,altiranische Gottheit
http://www.wikidata.org/entity/Q486110,Anapos,Flussgott der griechischen Mythologie
http://www.wikidata.org/entity/Q489104,Anchiale,Nymphe
http://www.wikidata.org/entity/Q3615218,Ancio,Kentaur
http://www.wikidata.org/entity/Q21548629,Andes,"ANDES , æ, Gr . Ἄνδης, ου, ( ⇒ Tab. II.) einer von des Cölus und der Erde Söhnen. Steph. Byz. in Ἄδανα ."
http://www.wikidata.org/entity/Q1782874,Andras,Dämon in der christlichen Mythologie
http://www.wikidata.org/entity/Q1465739,Angel of Death,Engel des Todes
http://www.wikidata.org/entity/Q21548672,Anonymvs,"ANONỸMVS , i, Græc . Ἀνώνυμος, ου, ein Riese, welcher mit seinem Helfer, dem Perlpnous, der Juno Gewalt anthun wollte, allein, darüber auch von dem Herkules erleget wurde. Ptol."
http://www.wikidata.org/entity/Q29686726,Anthracia,arkadische Nymphe
http://www.wikidata.org/entity/Q21548693,Anthédon,"ANTHÉDON , ŏnis, Gr . Ἀνθηδὼν, όνος, eine Nymphe, von welcher die Stadt Anthedon in Böotien den Namen bekommen haben soll. Pausan. Bœot. c. 22 ."
http://www.wikidata.org/entity/Q574828,Antianeira,Tochter des Pheres
http://www.wikidata.org/entity/Q21548750,Antimachus,"ANTIMĂCHVS , i , ( ⇒ Tab. XIV.) ein Centaurus, welchen Cäneus in dem Scharmützel auf des Pirithous Beylager nebst andern mit niedermachete. Ovid. Metam . lib. XII. v. 460 ."
http://www.wikidata.org/entity/Q47534,Anubis,Gottheit in der altägyptischen Mythologie
http://www.wikidata.org/entity/Q614030,Anytos,griechische Gottheit
http://www.wikidata.org/entity/Q615537,Aobh,weibliche Sagengestalt aus der keltischen Mythologie
http://www.wikidata.org/entity/Q21153021,Aora,Nymphe
http://www.wikidata.org/entity/Q26806435,Aphareus,Kentaurengestalt der griechischen Mythologie
http://www.wikidata.org/entity/Q28045772,Apheidas,Kentaur
http://www.wikidata.org/entity/Q2614157,Archon,antike Bezeichnung für böse Geister
http://www.wikidata.org/entity/Q8203830,Ardescus,Flussgott der griechischen Mythologie
http://www.wikidata.org/entity/Q643456,Arethusa,Nymphe einer Quelle auf der Insel Ortygia in Syrakus
http://www.wikidata.org/entity/Q644354,Argeia,Okeanide der griechischen Mythologie
http://www.wikidata.org/entity/Q15783910,Argius,Kentaur der griechischen Mythologie
http://www.wikidata.org/entity/Q519334,Argos,Jagdhund des Odysseus
http://www.wikidata.org/entity/Q55542316,Argus,"ARGVS, i, einer von den Hunden des Aktäons, die ihren Herrn anfielen [403] und zerrissen, als er von der Diana in einen Hirsch verwandelt worden. Apollod. lib. III. c. 4."
http://www.wikidata.org/entity/Q842435,Arion,Wunderpferd aus der griechischen Mythologie
http://www.wikidata.org/entity/Q55663885,Arsinoe,"ARSINOË , es , ( ⇒ Tab. VIII.) eine von den Hyaden, deren Schwestern Ambrosie, Bromie, Cisseïs und Koronis hießen. Hygin. Fab. 182 ."
http://www.wikidata.org/entity/Q4803671,Asbeel,gefallener Engel
http://www.wikidata.org/entity/Q55687991,Asbolus,"ASBŎLVS , i , einer von Aktäons Hunden, der von ἄσβολος, Ruß , den Namen hat, und schwarz gewesen seyn soll. Ovid. Metam . III. v. 218. & ad eum Cnipping. l. c ."
http://www.wikidata.org/entity/Q55777963,Ascus,"ASCVS , i, Gr . Ἀσκὸς, ου, ein Riese, welcher mit dem Lykurgus den Bacchus band, und in einen Fluß warf, den aber Mercurius wieder los machete, und dargegen dem Askus die Haut abzog, und einen Weinsch"
http://www.wikidata.org/entity/Q723668,Asena,legendäre Wölfin
http://www.wikidata.org/entity/Q907685,Ash,Gott in der Mythologie des Alten Ägypten
http://www.wikidata.org/entity/Q724824,Ashaqlun,ein manichäischer Dämon
http://www.wikidata.org/entity/Q605744,Asia,Okeanide der griechischen Mythologie
http://www.wikidata.org/entity/Q733322,Asmodeus,religiöse Figur
http://www.wikidata.org/entity/Q622781,Asopus,Flussgott zweier Flüsse
http://www.wikidata.org/entity/Q18642285,Asteria,"Titanide der griechischen Mythologie, Tochter des Koios"
http://www.wikidata.org/entity/Q748574,Asterodeia,Gattin des Aietes
http://www.wikidata.org/entity/Q250588,Astraeus,Titan der griechischen Mythologie
http://www.wikidata.org/entity/Q2868617,Astraios,Gigant aus der griechischen Mythologie
http://www.wikidata.org/entity/Q4812617,Atabey,Wassergottheit
http://www.wikidata.org/entity/Q221735,Atargatis,semitische Gottheit
http://www.wikidata.org/entity/Q3514860,Athis,Halbgott der Klassischen Mythologie
http://www.wikidata.org/entity/Q3626277,Atlantia,Hamadryade der griechischen Mythologie
http://www.wikidata.org/entity/Q130818,Atlas,Titan in der griechischen Mythologie
http://www.wikidata.org/entity/Q4816856,Atlas of Mauretania,König der griechischen Mythologie
http://www.wikidata.org/entity/Q774101,Aura,griechische Gottheit
http://www.wikidata.org/entity/Q931321,Axioche,Nymphe der Griechischen Mythologie
http://www.wikidata.org/entity/Q721135,Azazel,Dämon
http://www.wikidata.org/entity/Q16154505,Aziza,Wikimedia-Begriffsklärungsseite
http://www.wikidata.org/entity/Q490838,Azrael,einer der vier großen Engel im Islam
http://www.wikidata.org/entity/Q515882,Azure Dragon,Symbol der chinesischen Sternenkonstellation
http://www.wikidata.org/entity/Q590467,Baal,"im Altertum eine Bezeichnung für verschiedene Gottheiten im syrischen und levantinischen Raum; Titel, der für jeden Gott verwendet werden konnte, gewöhnlich der oberste Gott des örtlichen Pantheons"
http://www.wikidata.org/entity/Q187002,Baba Yaga,fiktive Figur
http://www.wikidata.org/entity/Q24652366,Badger Doctor,"Charakter aus Disneys ""Zoomania"""
http://www.wikidata.org/entity/Q794547,Bahamut,Fabelwesen
http://www.wikidata.org/entity/Q151761,Bahkauv,Sagengestalt aus Aachen
http://www.wikidata.org/entity/Q804542,Baku,japanisches Fabelwesen
http://www.wikidata.org/entity/Q21286610,Balanus,"Hamadryade, Tochter der Hamadryas und des Oxylos"
http://www.wikidata.org/entity/Q16626690,Baloo,fiktive Disney-Figur
http://www.wikidata.org/entity/Q77983422,Baloo,fiktive Figur aus ''Käpt’n Balu und seine tollkühne Crew''
http://www.wikidata.org/entity/Q9164839,Bamapama,Trickstergott in der Mythologie der Aborigines
http://www.wikidata.org/entity/Q19637309,Bamse,schwedische Cartoon-Figur
http://www.wikidata.org/entity/Q243362,Baphomet,angeblich von den Tempelrittern verehrtes Symbol
http://www.wikidata.org/entity/Q126319,Batea,Person der griechischen Mythologie
http://www.wikidata.org/entity/Q810744,Batea,Najade der Griechischen Mythologie
