mythicalCreature,mythicalCreatureLabel,mythicalCreatureDescription
http://www.wikidata.org/entity/Q3649172,Cabeiro,nymphe de la mythologie grecque
http://www.wikidata.org/entity/Q1024984,Caca,déesse de la mythologie romaine
http://www.wikidata.org/entity/Q754686,Cacus,"fils de Vulcain, Géant qui vomit des tourbillons de flamme et de fumée"
http://www.wikidata.org/entity/Q5016347,Cadejo,créature mythique du folklore méso-américain
http://www.wikidata.org/entity/Q2746267,Caim,démon
http://www.wikidata.org/entity/Q12899130,Callianassa,Néréide de la mythologie grecque
http://www.wikidata.org/entity/Q97653378,Callianira,Une des Néréides
http://www.wikidata.org/entity/Q913161,Callirrhoe,Océanide de la mythologie grecque
http://www.wikidata.org/entity/Q2934546,Calybe,nymphe de la mythologie grecque
http://www.wikidata.org/entity/Q654379,Calydonian Boar,créature fantastique de la mythologie grecque
http://www.wikidata.org/entity/Q48961,Calypso,Océanide de la mythologie grecque
http://www.wikidata.org/entity/Q2723859,Camael,ange
http://www.wikidata.org/entity/Q857144,Camenae,Nymphes des sources et des bois dans la religion romaine archaïque.
http://www.wikidata.org/entity/Q176130,Campe,monstre de la mythologie grecque
http://www.wikidata.org/entity/Q29490124,Carya,"hamadryade de la mythologie grecque, fille d'Hamadryas et d'Oxylos"
http://www.wikidata.org/entity/Q2603986,Cath Palug,chat légendaire de la légende arthurienne
http://www.wikidata.org/entity/Q1478704,Cephissus,dieu fleuve de la mythologie grecque
http://www.wikidata.org/entity/Q4219870,Cephissus,dieu fleuve d'Argolide
http://www.wikidata.org/entity/Q83496,Cerberus,chien à trois têtes gardant l'entrée des Enfers de la mythologie grecque
http://www.wikidata.org/entity/Q12879053,Cerceis,une des Océanides
http://www.wikidata.org/entity/Q739737,Cernunnos,dieu gaulois
http://www.wikidata.org/entity/Q466882,Ceryneian Hind,créature fantastique de la mythologie grecque de la stature d'un taureau
http://www.wikidata.org/entity/Q209489,Ceto,divinité de la mythologie grecque
http://www.wikidata.org/entity/Q5065673,Ceto,Océanide de la mythologie grecque
http://www.wikidata.org/entity/Q97667465,Ceto,Une des Néréides
http://www.wikidata.org/entity/Q5764126,Chakor,Oiseau légendaire
http://www.wikidata.org/entity/Q752213,Chalchiuhtlicue,divinité de la mythologie aztèque
http://www.wikidata.org/entity/Q192082,Charybdis,personnage de la mythologie grecque transformé en gouffre marin par Zeus
http://www.wikidata.org/entity/Q1069104,Chelone,personnage de la mythologie grecque
http://www.wikidata.org/entity/Q2962899,Cheval Gauvin,cheval légendaire
http://www.wikidata.org/entity/Q182790,Chimera,créature fantastique composite
http://www.wikidata.org/entity/Q215605,Chinese dragon,créature légendaire
http://www.wikidata.org/entity/Q7382381,Chione,fille de Borée
http://www.wikidata.org/entity/Q1074481,Chios,personnage de la mythologie grecque
http://www.wikidata.org/entity/Q183417,Chiron,centaure de la mythologie grecque
http://www.wikidata.org/entity/Q18643251,Chlidanope,nymphe de la mythologie grecque
http://www.wikidata.org/entity/Q1075258,Chloris,nymphe de la mythologie grecque
http://www.wikidata.org/entity/Q57424690,Chryseis,Unes des Océanides
http://www.wikidata.org/entity/Q1088867,Chrysomallos,"bélier ailé à la toison d'or, créature de la mythologie grecque"
http://www.wikidata.org/entity/Q3697327,Chrysopeleia,hamadryade de la mythologie grecque
http://www.wikidata.org/entity/Q5116118,Chullachaqui,créature maléfique de la jungle amazonienne
http://www.wikidata.org/entity/Q183571,Chupacabra,créature fantastique d'Amérique latine
http://www.wikidata.org/entity/Q187602,Circe,personnage de la mythologie grecque
http://www.wikidata.org/entity/Q17581463,Cleito,"personnage de la mythologie grecque, fille d'Événor"
http://www.wikidata.org/entity/Q2980753,Cleocharia,reine mythique de Laconie dans la mythologie grecque
http://www.wikidata.org/entity/Q12899376,Clio,Néréide de la mythologie grecque
http://www.wikidata.org/entity/Q782481,Clitumnus,dieu romain
http://www.wikidata.org/entity/Q2344103,Clymene,Néréide de la mythologie grecque
http://www.wikidata.org/entity/Q866674,Clytie,Océanide de la mythologie grecque
http://www.wikidata.org/entity/Q1101752,Clíodhna,prénom féminin
http://www.wikidata.org/entity/Q1780711,Comus,divinité de la mythologie grecque
http://www.wikidata.org/entity/Q2720272,Conde Estruch,personnage de légende
http://www.wikidata.org/entity/Q644692,Corcyra,nymphe de la mythologie grecque
http://www.wikidata.org/entity/Q10854746,Coronis,Hyade
http://www.wikidata.org/entity/Q2998824,Coulobre,créature fantastique qui hantait la Fontaine de Vaucluse
http://www.wikidata.org/entity/Q58838290,Cranto,Une des Néréides
http://www.wikidata.org/entity/Q58840962,Creneis,Une des Néréides
http://www.wikidata.org/entity/Q631865,Crinisus,Divinité de l'eau
http://www.wikidata.org/entity/Q3231732,Crocell,démon
http://www.wikidata.org/entity/Q1751992,Crommyonian Sow,créature fantastique de la mythologie grecque
http://www.wikidata.org/entity/Q44204,Cronus,"Titan, époux de sa sœur Rhéa et le père d'Hestia, Déméter, Héra, Hadès, Poséidon et Zeus"
http://www.wikidata.org/entity/Q1707194,Cuco,créature des folklores hispanique et portugais
http://www.wikidata.org/entity/Q5011,Cupid,dieu de l'amour dans la mythologie romaine
http://www.wikidata.org/entity/Q1423058,Cyane,naïade de la mythologie grecque
http://www.wikidata.org/entity/Q12899524,Cydippe,Néréide de la mythologie grecque
http://www.wikidata.org/entity/Q7595427,Cyllene,naïade de la mythologie grecque
http://www.wikidata.org/entity/Q12752732,Cymatolege,Néréide de la mythologie grecque
http://www.wikidata.org/entity/Q15711583,Cymo,Néréide de la mythologie grecque
http://www.wikidata.org/entity/Q15711584,Cymodoce,Néréide de la mythologie grecque
http://www.wikidata.org/entity/Q15711586,Cymothoe,Néréide de la mythologie grecque
http://www.wikidata.org/entity/Q26399341,Cyrene,"nymphe de la mythologie grecque, mère de Diomède et de Lycaon"
http://www.wikidata.org/entity/Q4154083,Daeira,Une des Océanides
http://www.wikidata.org/entity/Q623065,Dagon,dieu sémitique
http://www.wikidata.org/entity/Q10466497,Danais,nymphe de la mythologie grecque et romaine
http://www.wikidata.org/entity/Q3701850,Daniel,personnage dans le film « Steel »
http://www.wikidata.org/entity/Q3231467,Dantalion,démon
http://www.wikidata.org/entity/Q194015,Daphne,personnage de la mythologie grecque
http://www.wikidata.org/entity/Q3116535,Decarabia,démon
http://www.wikidata.org/entity/Q59661541,Deiopea,Une des Néréides
http://www.wikidata.org/entity/Q106676348,Deogen,esprit maléfique qui hante la forêt de Sonian
http://www.wikidata.org/entity/Q59773387,Dero,Une des Néréides
http://www.wikidata.org/entity/Q12899636,Dexamene,Néréide de la mythologie grecque
http://www.wikidata.org/entity/Q199923,Dione,"divinité grecque archaïque, mère d'Aphrodite"
http://www.wikidata.org/entity/Q60172446,Dione,"dans la mythologie grecque une Néréide, fille de Nérée et de Doris"
http://www.wikidata.org/entity/Q41680,Dionysus,dieu grec de la vigne
http://www.wikidata.org/entity/Q3032423,Divona,divinité gauloise aquatique
http://www.wikidata.org/entity/Q755126,Dog,signe en astrologie chinoise
http://www.wikidata.org/entity/Q1117913,Donn Cúailnge,taureau fabuleux de la mythologie irlandaise
http://www.wikidata.org/entity/Q726279,Doris,Océanide de la mythologie grecque
http://www.wikidata.org/entity/Q12899696,Doris,Néréide de la mythologie grecque
http://www.wikidata.org/entity/Q12876506,Doto,Néréide de la mythologie grecque
http://www.wikidata.org/entity/Q60388380,Doug The Pug St.Patrick Day,chien
http://www.wikidata.org/entity/Q731434,Dragon,signe de l'astrologie chinoise
http://www.wikidata.org/entity/Q1260264,Droopy,chien d'allure humaine présent dans les dessins animés MGM et créé par Tex Avery
http://www.wikidata.org/entity/Q5308511,Drosera,naïade
http://www.wikidata.org/entity/Q12899700,Drymo,Néréide de la mythologie grecque
http://www.wikidata.org/entity/Q910403,Dryope,personnage de la mythologie grecque
http://www.wikidata.org/entity/Q761597,Dynamene,Néréide de la mythologie grecque
http://www.wikidata.org/entity/Q108636,Easter Bunny,créature imaginaire
http://www.wikidata.org/entity/Q207368,Echo,Oréade de la mythologie grecque
http://www.wikidata.org/entity/Q2293877,Eidyia,Océanide de la mythologie grecque
http://www.wikidata.org/entity/Q1303861,Eikþyrnir,cerf fabuleux de la mythologie nordique
http://www.wikidata.org/entity/Q12899740,Eione,Néréide de la mythologie grecque
http://www.wikidata.org/entity/Q108653673,Eithné,personnage de fiction de Le Sorceleur
http://www.wikidata.org/entity/Q858663,Electra,personnage mythologie grecque
http://www.wikidata.org/entity/Q321169,Eligos,démon
http://www.wikidata.org/entity/Q5367107,Eloko,créature légendaire
http://www.wikidata.org/entity/Q903786,Empusa,"dans la mythologie grecque, une créature fantastique"
http://www.wikidata.org/entity/Q634475,Enbarr,cheval dans la mythologie celtique irlandaise
http://www.wikidata.org/entity/Q845112,Enceladus,géant de la mythologie grecque
http://www.wikidata.org/entity/Q189726,Enki,dieu de la mythologie mésopotamienne
http://www.wikidata.org/entity/Q178417,Eos,déesse de l'aurore
http://www.wikidata.org/entity/Q1249106,Ephialtes,"géant dans la mythologie grecque, fils de Gaïa et d'Ouranos"
http://www.wikidata.org/entity/Q12899771,Ephyra,Néréide de la mythologie grecque
http://www.wikidata.org/entity/Q41054,Epimetheus,personnage de la mythologie grecque
http://www.wikidata.org/entity/Q12899799,Erato,Néréide de la mythologie grecque
http://www.wikidata.org/entity/Q782764,Erato,dryade de la mythologie grecque
http://www.wikidata.org/entity/Q3731168,Ercina,nymphe de Béotie
http://www.wikidata.org/entity/Q247019,Erlang Shen,divinité aquatique
http://www.wikidata.org/entity/Q180325,Ersa,divinité de la mythologie grecque
http://www.wikidata.org/entity/Q12899823,Euagore,Néréide de la mythologie grecque
http://www.wikidata.org/entity/Q12899827,Eucrante,Néréide de la mythologie grecque
http://www.wikidata.org/entity/Q12899828,Eudore,Néréide de la mythologie grecque
http://www.wikidata.org/entity/Q60691484,Eudore,Océanide de la mythologie grecque
http://www.wikidata.org/entity/Q12899836,Eulimene,Néréide de la mythologie grecque
http://www.wikidata.org/entity/Q60777068,Eumolpe,Une des Néréides
http://www.wikidata.org/entity/Q1030030,Eunice,Néréide de la mythologie grecque
http://www.wikidata.org/entity/Q10490777,Eupheme,nymphe de la mythologie grecque
http://www.wikidata.org/entity/Q60958660,Eupompe,Une des Néréides
http://www.wikidata.org/entity/Q506285,Eurybia,divinité de la mythologie grecque
http://www.wikidata.org/entity/Q208588,Eurydice,"nymphe, épouse d'Orphée"
http://www.wikidata.org/entity/Q143457,Eurymedon,géant de la mythologie grecque
http://www.wikidata.org/entity/Q548099,Eurynome,Océanide de la mythologie grecque
http://www.wikidata.org/entity/Q19681430,Euryte,nymphe de la mythologie grecque
http://www.wikidata.org/entity/Q540468,Eurytion,centaure dans la mythologie gecque
http://www.wikidata.org/entity/Q3060927,Eurytos,Geant
http://www.wikidata.org/entity/Q60669292,Evarne,Une des Néréides
http://www.wikidata.org/entity/Q1386093,Ezrael,Ange de la révélation de Pierre
http://www.wikidata.org/entity/Q745315,Fafnir,Personnage de la mythologie scandinave
http://www.wikidata.org/entity/Q11921543,Fameliar,Esprit frappeur
http://www.wikidata.org/entity/Q3089703,Faunus,divinité romaine
http://www.wikidata.org/entity/Q182560,Fenrir,loup gigantesque dans la mythologie nordique
http://www.wikidata.org/entity/Q1407528,Feronia,"divinité antique dont le culte, originaire d'Étrurie, présidait aux travaux de l'agriculture et aux limites des champs"
http://www.wikidata.org/entity/Q3525267,Finnbhennach,taureau de la mythologie irlandaise
http://www.wikidata.org/entity/Q4491335,Focalor,démon
http://www.wikidata.org/entity/Q3235900,Foras,démon
http://www.wikidata.org/entity/Q3235533,Forneus,démon
http://www.wikidata.org/entity/Q2021531,Frankenstein's monster,personnage de fiction
http://www.wikidata.org/entity/Q131474,Freyr,dieu majeur de la mythologie nordique
http://www.wikidata.org/entity/Q613010,Fufluns,dieu étrusque
http://www.wikidata.org/entity/Q951431,Furcas,démon
http://www.wikidata.org/entity/Q2737829,Furfur,démon
http://www.wikidata.org/entity/Q663171,Gaap,démon
http://www.wikidata.org/entity/Q81989,Gabriel,Ange mentionné dans la Bible et le Coran. C'est le plus notable de tous les anges.
http://www.wikidata.org/entity/Q3094246,Gadrel,archange biblique
http://www.wikidata.org/entity/Q241070,Galatea,néréide
http://www.wikidata.org/entity/Q687240,Gamera,kaijū
http://www.wikidata.org/entity/Q2745293,Gamigin,démon
http://www.wikidata.org/entity/Q188676,Garuda,"personnage mythologique de l'hindouisme, puis du bouddhisme."
http://www.wikidata.org/entity/Q2740607,Glasya-Labolas,démon
http://www.wikidata.org/entity/Q12900082,Glauce,Néréide de la mythologie grecque
http://www.wikidata.org/entity/Q12900083,Glauconome,Néréide de la mythologie grecque
http://www.wikidata.org/entity/Q385397,Glaucus,divinité marine de la mythologie grecque
http://www.wikidata.org/entity/Q1532491,Glycon,divinité romaine
http://www.wikidata.org/entity/Q867696,Goat,signe du zodiaque chinois
http://www.wikidata.org/entity/Q6567,Godzilla,monstre de cinéma japonais
http://www.wikidata.org/entity/Q192785,Goliath,personnage biblique du Tanakh et de l'Ancien Testament
http://www.wikidata.org/entity/Q242756,Gong Gong,personnage légendaire de l'Antiquité chinoise
http://www.wikidata.org/entity/Q111135,Goofy,personnage de fiction de l'univers de Mickey Mouse
http://www.wikidata.org/entity/Q2418385,Grani,cheval de la mythologie nordique
http://www.wikidata.org/entity/Q1333602,Grannus,Dieu de l'eau
http://www.wikidata.org/entity/Q649606,Graoully,dragon de Metz
http://www.wikidata.org/entity/Q1545559,Greiss,Démon du monde légendaire de la région alpine
http://www.wikidata.org/entity/Q2346718,Gremory,démon
http://www.wikidata.org/entity/Q3116762,Gringolet,"cheval fictif de la légende arthurienne, monture de Sir Gauvain"
http://www.wikidata.org/entity/Q3116776,Gripet,Type de créature mythique
http://www.wikidata.org/entity/Q1200682,Gullfaxi,cheval mythologique
http://www.wikidata.org/entity/Q280712,Gullinbursti,"sanglier du dieu Freyr, créé par les nains forgerons Eitri et Brokk"
http://www.wikidata.org/entity/Q2740616,Gusion,démon
http://www.wikidata.org/entity/Q1418467,Ha,divinité égyptienne
http://www.wikidata.org/entity/Q3231694,Haagenti,démon
http://www.wikidata.org/entity/Q682855,Hadad,divinité
http://www.wikidata.org/entity/Q1571021,Halie,Une des 50 Néréides
http://www.wikidata.org/entity/Q3611796,Halimede,Néréide de la mythologie grecque
http://www.wikidata.org/entity/Q32143,Hapi,personnification divine du Nil dans la mythologie égyptienne
http://www.wikidata.org/entity/Q9286479,Harmonia,nymphe de la mythologie grecque
http://www.wikidata.org/entity/Q3200444,Harpina,nymphe de la mythologie grecque
http://www.wikidata.org/entity/Q259182,Hati Hróðvitnisson,loup de la mythologie nordique
http://www.wikidata.org/entity/Q1427466,Hauras,démon issu des croyances de la goétie
http://www.wikidata.org/entity/Q161999,Haymon,géant de la mythologie tyrolienne
http://www.wikidata.org/entity/Q638578,Helle,personnage de la mythologie grecque
http://www.wikidata.org/entity/Q122248,Heracles,héros de la mythologie grecque
http://www.wikidata.org/entity/Q341479,Hesione,page d'homonymie d'un projet Wikimédia
http://www.wikidata.org/entity/Q669635,Hesione,Océanide de la mythologie grecque
http://www.wikidata.org/entity/Q41419,Hestia,divinité grecque
http://www.wikidata.org/entity/Q538694,Heuresis,nymphe dans la mythologie grecque connue comme  la déesse de l'invention
http://www.wikidata.org/entity/Q1511880,Hieracosphinx,variété de sphinx
http://www.wikidata.org/entity/Q1617512,Hieromneme,personnage de la mythologie grecque
http://www.wikidata.org/entity/Q2171892,Hippo,Une des Océanides
http://www.wikidata.org/entity/Q1620048,Hippolytos,géant dans la mythologie grecque
http://www.wikidata.org/entity/Q12900271,Hipponoe,Néréide de la mythologie grecque
http://www.wikidata.org/entity/Q1498745,Hippothoe,page d'homonymie d'un projet Wikimédia
http://www.wikidata.org/entity/Q12900273,Hippothoe,Néréide de la mythologie grecque
http://www.wikidata.org/entity/Q106977856,Hopduvel,figure du diable
http://www.wikidata.org/entity/Q869595,Horse,septième animal du zodiaque chinois
http://www.wikidata.org/entity/Q936993,Huixtocihuatl,"déesse aztèque de la fertilité, du sel et de l'eau salée"
http://www.wikidata.org/entity/Q1375695,Hundun,chaos primordial de la cosmogonie chinoise
http://www.wikidata.org/entity/Q170379,Hydra,monstre possédant plusieurs têtes qui se régénèrent doublement lorsqu'elles sont tranchées
http://www.wikidata.org/entity/Q391070,Hylonome,centauresse de la mythologie grecque
http://www.wikidata.org/entity/Q506770,Hymen,divinité de la mythologie grecque
http://www.wikidata.org/entity/Q179209,Hyperion,divinité primordiale de la mythologie grecque
http://www.wikidata.org/entity/Q690603,Iacchus,divinité de la mythologie grecque
http://www.wikidata.org/entity/Q12900350,Iaera,Néréide de la mythologie grecque
http://www.wikidata.org/entity/Q12900353,Ianassa,Néréide de la mythologie grecque
http://www.wikidata.org/entity/Q12900349,Ianeira,Néréide de la mythologie grecque
http://www.wikidata.org/entity/Q106076553,Ianire,Une des Océanides
http://www.wikidata.org/entity/Q179543,Iapetos,personnage de la mythologie grecque
