Abaco
Irnerio
Isacco
Isaia
Isidoro
Ismaele
Ivo
Jacopo
Jacopone
Labano
Ladislao
Laerte
Lamberto
Lando
Landolfo
Lapo
Lattanzio
Lazzaro
Leandro
Learco
Lelio
Lemuele
Leonardo
Leonida
Leonzio
Leopoldo
Leucio
Levi
Liberale
Licisco
Lino
Lionello
Livio
Loderingo
Lodovico
Loreno
Lorenzo
Lotario
Luca
Luchino
Luciano
Lucio
Ludovico
Luigi
Macario
Macedonio
Maclovio
Maggiorino
Mainardo
Malachia
Malco
Mamiliano
Manasse
Manfredo
Manlio
Manno
Manolo
Mansueto
Marcantonio
Marcello
Marciano
Marco
Mardonio
Mariano
Marino
Mario
Marsilio
Marziale
Marzio
Massimiliano
Massimo
Mattatia
Matteo
Mattia
Mauro
Mazzeo
Medardo
Medoro
Melchiorre
Melezio
Menalippo
Menenio
Mercuriale
Meroveo
Metello
Metodio
Michea
Michelangelo
Michele
Milone
Milvio
Milziade
Mimi
Mimmo
Miniato
Misaele
Modesto
Monaldo
Murilo
Muziano
Muzio
Nabide
Nando
Nanni
Napoleone
Narciso
Natale
Natalino
Nearco
Neemia
Nereo
Neri
Nestore
Nevio
Niccola
Niccolò
Niceforo
Nico
Nicodemo
Nicola
Nicolao
Nicolò
Niso
Noè
Norberto
Nunzio
Obizzo
Oddo
Olao
Olcese
Oliviero
Omero
Onesto
Onofrio
Onorato
Onorio
Orazio
Oreste
Orfeo
Orlando
Oronzo
Oscar
Osea
Osvaldo
Otello
Ottaviano
Ottavio
Ottorino
Pacomio
Palamede
Palinuro
Palmiro
Pancrazio
Pandolfo
Paolo
Paride
Pasquale
Patrizio
Pelagio
Pepe
Peppe
Peppenuzzo
Peppinello
Peppinetto
Peppino
Peppo
Peppone
Peppuccio
Perseo
Persio
Petronio
Pico
Pierangelo
Pierluigi
Piero
Pietro
Pilade
Pinuccio
Pio
Pippo
Pirro
Plinio
Poldo
Policarpo
Pompeo
Pompilio
Ponziano
Porfirio
Porzio
Primo
Prisciano
Prisco
Procopio
Properzio
Prospero
Provino
Puccio
Quintino
Quinto
Quinzio
Quirino
Raffaele
Raimondo
Ramberto
Ramiro
Randolfo
Reginaldo
Remigio
Remo
Renato
Riccardo
Ricciardo
Ricciotti
Rinaldo
Roberto
Rocco
Rodolfo
Rodrigo
Rogaziano
Roggero
Rolando
Romano
Romeo
Romolo
Romualdo
Ronaldo
Rosario
Ruben
Ruberto
Rufo
Ruggero
Ruggiero
Rustico
Rutilio
Sabino
Sallustio
Salomone
Salvatore
Samuele
Sandro
Sansone
Santino
Saverio
Savino
Scipione
Sebastiano
Sedecia
Selenio
Seleno
Seleuco
Sempronio
Seppe
Serafino
Sergio
Serse
Sertorio
Sestino
Severino
Siffredo
Sifrido
Sigfredo
Sigfrido
Sigifredo
Sigifrido
Sigisfrido
Sigismondo
Sila
Silvano
Silvestro
Silvio
Simone
Sinforiano
Sinibaldo
Sirio
Siro
Sisinnio
Sofonia
Sotero
Spartaco
Sperandio
Spiridione
Stanislao
Stefano
Stelio
Stelvio
Taddeo
Tammaro
Tancredi
Tarasio
Tarcisio
Tarquinio
Taziano
Tazio
Teagene
Tebaldello
Tegghiaio
Telemaco
Temistocle
Teobaldo
Teocrito
Teodorico
Teodoro
Teodosio
Teofilo
Terenzio
Tesauro
Tiberio
Timoteo
Tirso
Tito
Tiziano
Tobia
Tommaso
Tonino
Tonio
Tony
Torquato
Traiano
Trifone
Tristano
Tullo
Uberto
Ueli
Ugo
Ugolino
Ulderico
Ulisse
Ulrico
Umberto
Umbro
Uria
Uriele
Valdemaro
Valdo
Valentino
Valerio
Vasco
Venanzio
Venedico
Vilfredo
Vincenzo
Vinicio
Virgilio
Vitaliano
Vito
Vittorio
Vivaldo
Vivenzio
Walter
Zaccaria
Zaccheo
Zeno
Zenone
Zoilo
Zosimo
