Aagot
Bryndís
Brynfríður
Bryngerður
Brynheiður
Brynhildur
Brynja
Burkney
Bylgja
Camilla
Caren
Carin
Carina
Carla
Carmen
Carolina
Catarina
Cecilia
Cecilía
Ceres
Charlotta
Charlotte
Christa
Christina
Christine
Cicilia
Cilla
Cissi
Clara
Cristina
Daðey
Daga
Dagbjörg
Dagbjört
Dagfríður
Daggrós
Dagheiður
Dagmar
Dagmey
Dagny
Dagný
Dagrún
Daldís
Dalía
Dalla
Dalrós
Dana
Daney
Danfríður
Danheiður
Danhildur
Danía
Daníela
Daníella
Dara
Davíða
Debóra
Dendý
Didda
Dilja
Diljá
Dimmblá
Dimmey
Día
Díana
Díanna
Díma
Dís
Dísa
Dísella
Donna
Doris
Dorothea
Dómhildur
Dóra
Dórothea
Dórótea
Dóróthea
Draumey
Drífa
Droplaug
Drótt
Dröfn
Dúa
Dúfa
Dúna
Dýrborg
Dýrfinna
Dýrleif
Dýrley
Dýrunn
Dæja
Dögg
Dögun
Ebba
Edda
Edel
Edil
Edit
Edith
Eðna
Eðvarðína
Efemía
Egedía
Eggrún
Egla
Eiðný
Eiðunn
Eik
Eila
Eileif
Eindís
Einey
Einfríður
Einhildur
Einrún
Eir
Eira
Eirdís
Eirfinna
Eiríka
Eirný
Eldbjörg
Eldey
Eleina
Elektra
Elena
Elenóra
Eleonora
Elfa
Elfur
Elin
Elina
Elinóra
Elisabeth
Elía
Elíana
Elín
Elína
Elíná
Elínbet
Elínbjörg
Elínbjört
Elínborg
Elíngunnur
Elínheiður
Elínrós
Elírós
Elísa
Elísabet
Elísabeth
Elka
Ella
Ellen
Elley
Elliða
Ellika
Ellisif
Ellý
Elma
Elna
Elsa
Elsabet
Elsie
Elsý
Elva
Elvíra
Elvý
Emanuella
Embla
Emelía
Emelíana
Emelína
Emilía
Emilíana
Emilíanna
Emilý
Emma
Emý
Enea
Eneka
Engil
Engilbjört
Engilborg
Engilráð
Engla
Enika
Enja
Enóla
Eriana
Erika
Erla
Erlen
Erlín
Erna
Esja
Esmeralda
Ester
Esther
Estiva
Ethel
Etna
Eva
Evelyn
Evey
Evfemía
Evgenía
Evíta
Evlalía
Ey
Eybjörg
Eydís
Eyfríður
Eygerður
Eygló
Eyhildur
Eyja
Eyjalín
Eyleif
Eylín
Eyrós
Eyrún
Eyveig
Eyvör
Eyþóra
Eyþrúður
Fanndís
Fanney'
Fannlaug
Fanny
Fanný
Febe
Fema
Filippa
Filippía
Finna
Finnbjörg
Finnbjörk
Finnboga
Finnborg
Finndís
Finney
Finnfríður
Finnlaug
Fía
Fídes
Fífa
Fjalldís
Fjóla
Flóra
Folda
Fransiska
Franziska
Frán
Fregn
Freydís
Freygerður
Freyja
Freylaug
Freyleif
Frida
Friðbjörg
Friðbjört
Friðborg
Friðdís
Friðdóra
Friðey
Friðfinna
Friðgerður
Friðjóna
Friðlaug
Friðleif
Friðlín
Friðmey
Friðný
Friðrika
Friðrikka
Friðrós
Friðrún
Friðsemd
Friðveig
Friðþóra
Frigg
Fríða
Friður
Fróðný
Fura
Fylgia
Föbe
Fönn
Gabríela
Gabríella
Gauja
Gauta
Gauthildur
Gefjun
Gefn
Geira
Geirbjörg
Geirdís
Geirfinna
Geirfríður
Geirhildur
Geirlaug
Geirlöð
Geirný
Geirríður
Geirrún
Geirþrúður
Gerða
Gerður
Gestheiður
Gestný
Gestrún
Gillý
Gilslaug
Gissunn
Gía
Gígja
Gísley
Gíslína
Gíslný
Gíslrún
Gíslunn
Gjaflaug
Gloría
Gló
Glóbjört
Glódís
Glóð
Glóey
Gná
Góa
Gógó
Gotthildur
Greta
Grélöð
Grét
Gréta
Gríma
Grímey
Grímheiður
Grímhildur
Gróa
Guðbjörg
Guðbjört
Guðborg
Guðrún
Guðdís
Guðfinna
Guðfríður
Guðjóna
Guðlaug
Guðleif
Guðlín
Guðmey
Guðmunda
Guðmundína
Guðný
Guðríður
Guðrún
Guðsteina
Guðveig
Gull
Gullbrá
Gullveig
Gullvör
Gunna
Gunnbjörg
Gunnbjört
Gunnborg
Gunndís
Gunndóra
Gunnella
Gunnfinna
Gunnfríður
Gunnheiður
Gunnhildur
Gunnjóna
Gunnlaug
Gunnleif
Gunnlöð
Gunnrún
Gunnur
Gunnveig
Gunnvör
Gunný
Gunnþóra
Gunnþórunn
Gurrý
Gustava
Gyða
Gyðja
Gyðríður
Gytta
Gæflaug
Hadda
Haddý
Hafbjörg
Hafborg
Hafdís
Hafey
Hafliða
Haflína
Hafný
Hafrós
Hafrún
Hafsteina
Hafþóra
Hagar
Halla
Hallbera
Hallbjörg
Hallborg
Halldís
Halldóra
Halley
Hallfríður
Hallgerður
Hallgunnur
Hallkatla
Hallný
Hallrún
Hallveig
Hallvör
Hamfríður
Hanna
Hansa
Hansína
Harpa
Harriet
Hauður
Hákonía
Heba
Hedda
Heiða
Heiðbjörg
Heiðbjörk
Heiðbjört
Heiðbrá
Heiðdís
Heiðlaug
Heiðlóa
Heiðný
Heiðrós
Heiðrún
Heiður
Heiðveig
Hekla
Helen
Helena
Helfríður
Helga
Helka
Hella
Helma
Helný
Helveig
Hendrikka
Henný
Henrietta
Henríetta
Hera
Herbjörg
Herbjört
Herborg
Herdís
Herfríður
Hergerður
Herlaug
Hermína
Hersilía
Herta
Hertha
Hervör
Herþrúður
Hilda
Hildegard
Hildibjörg
Hildigerður
Hildigunnur
Hildiríður
Hildisif
Hildiveig
Hildur
Hilla
Hilma
Himinbjörg
Hind
Hinrika
Hjalta
Hjaltey
Hjálmdís
Hjálmey
Hjálmfríður
Hjálmgerður
Hjálmrós
Hjálmrún
Hjálmveig
Hjördís
Hjörfríður
Hjörleif
Hjörný
Hlaðgerður
Hlédís
Hlíf
Hlín
Hlökk
Hólmbjörg
Hólmdís
Hólmfríður
Hrafnborg
Hrafndís
Hrafney
Hrafngerður
Hrafnheiður
Hrafnhildur
Hrafnkatla
Hrafnlaug
Hrafntinna
Hraundís
Hrefna
Hreindís
Hróðný
Hrólfdís
Hrund
Hrönn
Hugbjörg
Hugborg
Hugdís
Hugljúf
Hugrún
Huld
Hulda
Huldís
Huldrún
Húnbjörg
Húndís
Húngerður
Hvönn
Hödd
Högna
Hörn
Ida
Iða
Íða
Iðunn
Ilmur
Ina
Inda
India
Indiana
Indía
Indíana
Indíra
Indra
Inga
Ingdís
Ingeborg
Inger
Ingey
Ingheiður
Inghildur
Ingibjörg
Ingibjört
Ingiborg
Ingifinna
Ingifríður
Ingigerður
Ingilaug
Ingileif
Ingilín
Ingimaría
Ingimunda
Ingiríður
Ingirós
Ingisól
Ingiveig
Ingrid
Ingríður
Ingrún
Ingunn
Ingveldur
Ingvör
Inna
Irena
Irene
Irja
Irma
Irmelin
Irmgard
Irmý
Irpa
Isabella
Ída
Íma
Ína
Ír
Íren
Írena
Íris
Írunn
Ísabel
Ísabella
Ísadóra
Ísafold
Ísalind
Ísbjörg
Ísdís
Ísey
Ísfold
Ísgerður
Íshildur
Ísis
Íslaug
Ísleif
Ísmey
Ísold
Ísól
Ísrún
Ísveig
Íunn
Íva
Jakobína
Jana
Janetta
Janína
Janna
Jannika
Jara
Jarla
Jarún
Jarþrúður
Jasmín 
Járnbrá
Járngerður
Jenna
Jennifer
Jenný
Jessika
Jensína
Jessý
Jóa
Jóanna
Jódís
Jófríður
Jóhanna
Jóna
Jónanna
Jónasína
Jónbjörg
Jónbjört
Jóndís
Jóndóra
Jóney
Jónfríður
Jóngerð
Jónheiður
Jónhildur
Jóninna
Jónída
Jónína
Jónný
Jóný
Jóra
Jóríður
Jórlaug
Jórunn
Jósefína
Judith
Júdit
Júlía
Júlíana
Júlíanna
Júnía
Júníana
Justina
Jökla
Jökulrós
Jörgína
Kaðlín
Kaja
Kajsa
Kalla
Kamilla
Kamí
Kamma
Kapitola
Kapítóla
Kara
Karen
Karin
Karitas
Karín
Karina
Karítas
Karla
Karlína
Karlotta
Karna
Karola
Karolína
Karó
Karólín
Karólína
Kata
Katarina
Kathinka
Katinka
Katja
Katla
Katrín
Katrina
Kára
Kendra
Kerstin
Ketilbjörg
Ketilfríður
Ketilríður
Ketty
Kiddý
Kim
Kirsten
Kirstín
Kjalvör
Kjella
Kjellög
Klara
Kládía
Klementína
Kleópatra
Kolbjörg
Kolbrá
Kolbrún
Koldís
Kolfinna
Kolfreyja
Kolgríma
Kolka
Konkordía
Konný
Konstantía
Kormlöð
Kornelía
Krista
Kristbjörg
Kristborg
Kristel
Kristen
Kristensa
Kristey
Kristfríður
Kristgerður
Kristine
Kristíana
Kristíanna
Kristin
Kristína
Kristjana
Kristjóna
Kristlaug
Kristlind
Kristlín
Kristný
Kristrós
Kristrún
Kristveig
Kristvina
Kristþóra
Kría
Laila
Laíla
Lana
Lara
Laufey
Laufheiður
Laufhildur
Lauga
Laugey
Laugheiður
Lára
Lárensína
Láretta
Lárey
Lea
Leikný
Leila
Lena
Leonóra
Leónóra
Lilja
Liljá
Lill
Lillian
Lillý
Lily
Lilý
Lina
Lind
Linda
Linn
Linnéa
Listalín
Liv
Líf
Lífdís
Lín
Lína
Línbjörg
Líndís
Líneik
Líney
Línhildur
Lísa
Lísabet
Lísandra
Lísbet
Lív
Ljósbjörg
Ljósbrá
Ljótunn
Lofn
Loftveig
Logey
Lola
Lotta
Louisa
Louise
Lousie
Lova
Lovísa
Lóa
Lóreley
Lukka
Lukretia
Lúcía
Lúðvíka
Lúísa
Lúsinda
Lúsía
Lúvísa
Lydia
Lydía
Lyngheiður
Lýdía
Læla
Maddý
Magda
Magdalena
Magðalena
Magga
Maggey
Maggý
Magna
Magndís
Magnea
Magnes
Magney
Magnfríður
Magnheiður
Magnhildur
Magnúsína
Magný
Magnþóra
Maídís
Maj
Maja
Malen
Malena
Malín
Malla
Malvina
Manda
Mara
Mardís
Marel
Marela
Maren
Mareta
Marey
Marfríður
Margit
Margot
Margret
Margrét
Margreta
Margrjet
Margunnur
Marheiður
Marie
Marinella
Marí
María
Maríam
Marían
Maríana
Maríanna
Maríkó
Marín
Marína
Marínella
Marísa
Marít
Marita
Maríuerla
Marja
Markrún
Marlaug
Marlena
Marlín
Marlís
Marólína
Marsa
Marselía
Marselína
Marsibil
Marsilía
Marsý
Marta
Martha
Martína
Mary
Marý
Mattea
Matthea
Matthildur
Matthía
Mattíana
Mattína
Mattý
Maud
May
Mábil
Málfríður
Málhildur
Málmfríður
Mánadís
Máney
Meda
Mekkin
Mekkín
Melinda
Melkorka
Melrós
Messíana
Metta
Mey
Mikaela
Mikaelína
Milda
Mildríður
Milla
Minna
Minney
Minný
Miriam
Mirja
Mirjam
Mirra
Mist
Mía
Mínerva
Míra
Míranda
Mítra
Mjaðveig
Mjalldís
Mjallhvít
Mjöll
Mona
Monika
Móeiður
Móey
Móheiður
Móna
Mónika
Móníka
Munda
Mundheiður
Mundhildur
Myrra
Mýra
Mörk
Mæja
Nadia
Nadía
Nadja
Nana
Nanna
Nanný
Nansý
Naomí
Naómí
Natalie
Natalía
Náttsól
Nella
Nellý
Nerthus
Nicole
Niðbjörg
Nikola
Nikólína
Ninja
Ninna
Nina
Njála
Njóla
Norma
Nóra
Nótt
Nýbjörg
Odda
Oddbjörg
Oddfreyja
Oddfríður
Oddgerður
Oddhildur
Oddlaug
Oddleif
Oddný
Oddrún
Oddveig
Oddvör
Odila
Oktavía
Októvía
Olga
Ormheiður
Ormhildur
Otkatla
Ottilia
Ottiliana
Otta
Óda
Óla
Ólafía
Ólafína
Ólavía
Ólína
Ólöf
Ósa
Ósk
Óskara
Pamela
París
Pála
Páldís
Páley
Pálfríður
Pálhanna
Pálheiður
Pálhildur
Pálín
Pálína
Pálmey
Pálmfríður
Pálrún
Perla
Pernilla
Peta
Petra
Petrea
Petrína
Petronella
Petrónella
Petrós
Petrún
Petrúnella
Pétrína
Pétrún
Pia
Polly
Pollý
Priska
Rafney
Rafnhildur
Ragna
Ragnbjörg
Ragnborg
Ragney
Ragnfríður
Ragnheiður
Ragnhildur
Ragnvör
Rakel
Randalín
Randíður
Rannveig
Ráðhildur
Ramborg
Ramfríður
Rán
Rebekka
Reginbjörg
Regína
Reidun
Renata
Reyndís
Reynheiður
Reynhildur
Rigmor
Rikka
Risa
Rita
Ríkey
Rín
Ríta
Ronja
Róberta
Rós
Rósa
Rosalía
Rósalind
Rósanna
Rósbjörg
Rósborg
Róselía
Rósey
Rósfríður
Róshildur
Rosina
Rósinkara
Róslaug
Róslind
Róslinda
Róslín
Rósmary
Rósmarý
Rósmunda
Rósný
Runný
Rut
Ruth
Rún
Rúna
Rúndís
Rúnhildur
Rúrí
Röfn
Rögn
Röskva
Sabína
Sabrína
Saga
Salbjörg
Saldís
Salgerður
Salín
Salína
Salka
Salma
Salný
Sally
Salome
Salóme
Salveig
Salvör
Sandra
Sanna
Sannfríður
Sanny
Sara
Saraí
Sarína
Selina
Selja
Selka
Selma
Senía
Septíma
Sera
Serafia
Seselía
Sesilía
Sesselía
Sesselja
Sestrid
Sibylla
Sif
Sigdís
Sigdóra
Sigfríð
Sigfríður
Sigga
Siggerður
Sigmunda
Signa
Signhildur
Sigbritt
Signý
Sigríður
Sigrún
Sigurást
Sigurásta
Sigurbára
Sigurbirna
Sigurbjörg
Sigurbjört
Sigurborg
Sigurdís
Sigurdóra
Sigurdríf
Sigurdrífa
Sigurða
Sigurey
Sigurfinna
Sigurfljóð
Sigurgeira
Sigurhanna
Sigurhelga
Sigurhildur
Sigurjóna
Sigurlaug
Sigurleif
Sigurlilja
Sigurlinn
Sigurlín
Sigurlína
Sigurmunda
Sigurnanna
Sigurósk
Sigurrós
Sigursteina
Sigurunn
Sigurveig
Sigurvina
Sigurþóra
Sigvör
Sigyn
Sigþóra
Sigþrúður
Silfa
Silfá
Silfrún
Silja
Silka
Silla
Silva
Silvana
Silvía
Sirrý
Sía
Simone
Símonía
Sísí
Síta
Sív
Sjöfn
Skarpheiður
Skuld
Skúla
Skúlína
Snjáfríður
Snjófríður
Snjólaug
Snorra
Snót
Snæbjörg
Snæbjört
Snæborg
Snæbrá
Snædís
Snæfríður
Snælaug
Snærós
Snærún
Soffía
Sofía
Solveig
Sonja
Sonný
Sól
Sóla
Sólbjörg
Sólbjört
Sólborg
Sólbrá
Sólbrún
Sóldís
Sóldögg
Sóley
Sólfríður
Sólgerður
Sólhildur
Sólkatla
Sóllilja
Sólný
Sólrún
Sólveig
Sólvör
Stefanía
Stefánný
Steina
Steinbjörg
Steinborg
Steindís
Steindóra
Steiney
Steinfríður
Steingerður
Steinhildur
Steinlaug
Steinrós
Steinrún
Steinunn
Steinvör
Steinþóra
Stella
Stígheiður
Stígrún
Stína
Stjarna
Styrgerður
Sumarlína
Sumarrós
Sunna
Sunnefa
Sunneva
Sunniva
Sunníva
Susan
Súsanna
Svafa
Svala
Svalrún
Svana
Svanbjörg
Svanbjört
Svanborg
Svandís
Svanfríður
Svanheiður
Svanhildur
Svanhvít
Svanlaug
Svanrós
Svanþrúður
Svava
Svea
Sveina
Sveinbjörg
Sveinborg
Sveindís
Sveiney
Sveinfríður
Sveingerður
Sveinhildur
Sveinlaug
Sveinrós
Sveinrún
Sveinsína
Sveinveig
Sylgja
Sylvía
Synnöve
Sýster
Sæbjörg
Sæbjört
Sæborg
Sædís
Sæfinna
Sæfríður
Sæhildur
Sælaug
Sæmunda
Sæný
Særós
Særún
Sæsól
Sæunn
Sævör
Sölva
Sölvey
Sölvína
Tala
Talía
Tamar
Tamara
Tanía
Tanja
Tanya
Tara
Tatjana
Tea
Teitný
Tekla
Telma
Tera
Teresa
Teresía
Thea
Thelma
Theodóra
Theódóra
Theresa
Tilda
Tindra
Tinna
Tirsa
Tíbrá
Tína
Todda
Tolla
Tora
Torbjörg
Torborg
Torfey
Torfheiður
Torfhildur
Tóka
Tóta
Tóva
Trina
Tryggva
Tryggvína
Týra
Ugla
Úlfa
Una
Undína
Unna
Unnbjörg
Unndís
Unnur
Urður
Ursilla
Valborg
Valdis
Valentina
Valerie
Vally
Vanda
Vanja
Vanna
Vasti
Vega
Vendela
Vera
Verna
Veronica
Veronika
Vesta
Vibeke
Victoria
Vida
Viktoria
Vilhjálma
Vilma
Viola
Viran
Virginía
Viva
Vivan
Viveca
Viveka
Vivi
Viviana
Viviann
Yana
Ylva
Ynghildur
Yngveldur
Yrsa
Z
Þeba
Þeódóra
Þjóðbjörg
Þjóðhildur
Þoka
Þorbjörg
Þorborg
Þorfinna
Þorgerður
Þorgríma
Þorkatla
Þorlaug
Þorleif
Þorsteina
Þorstína
Þóra
Þóranna
Þórarna
Þórbjörg
Þórdís
Þórelfa
Þórelfur
Þórey
Þórfríður
Þorgunn
Þórgunna
Þórgunnur
Þórhalla
Þórhanna
Þórheiður
Þórhildur
Þórkatla
Þórlaug
Þórleif
Þórný
Þórodda
Þórsteina
Þórstína
Þórunn
Þórveig
Þórvör
Þrá
Þrúður
Þula
Þura
Þurí
Þuríður
Þurý
Þúfa
Þyri
Þyrí
Þöll
Ædís
Æsa
Æsgerður
Æska
Æstíva
Ödgerd
Ödgunn
Ögmunda
Ögn
Öllegárd
Ölrún
Ölveig
Örbrún
Örk
Ösp
