Aage
Brimar
Brimi
Brimir
Brjánn
Broddi
Broðir
Bruno
Bryngeir
Brynjar
Brynjólfur
Brynjúlfur
Brynleifur
Brynni
Brynólfur
Brynsteinn
Bryntýr
Brynþór
Bubbi
Burkni
Búi
Búri
Bæring
Bæringur
Bæron
Böðvar
Börkur
Carl
Cecil
Christian
Christopher
Cýrus
Daði
Dagbjartur
Dagfari
Dagfinnur
Daggeir
Dagmann
Dagnýr
Dagur
Dagþór
Dalbert
Dalmann
Dalmar
Dalvin
Damjan
Dan
Danelíus
Daniel
Danival
Daníel
Daníval
Daríus
Darri
Davíð
Demus
Diðrik
Díómedes
Dofri
Dómald
Dómaldi
Dómaldur
Dónald
Dónaldur
Dór
Dóri
Dósóþeus
Draupnir
Dreki
Drengur
Dufgus
Dufþakur
Dugfús
Dúi
Dvalinn
Dýri
Dýrmundur
Ebeneser
Ebenezer
Eberg
Edgar
Edílon
Edvard
Edvin
Edward
Eðvald
Eðvar
Eðvarð
Eðvin
Efraím
Eggert
Eggþór
Egill
Eiður
Eilífur
Einar
Einir
Einvarður
Einþór
Eiríkur
Eivindur
Elberg
Elbert
Eldar
Eldgrímur
Eldjárn
Eldór
Eldur
Elentínus
Elfar
Elfráður
Elimar
Elinór
Elis
Elí
Elías
Elíeser
Elímar
Elínbergur
Elínmundur
Elínór
Elís
Ellert
Elli
Elliði
Elmar
Elvar
Emanúel
Embrek
Emil
Engilbert
Engilbjartur
Engiljón
Engill
Enok
Erasmus
Erhardur
Eric
Erik
Erlar
Erlendur
Erling
Erlingur
Erminrekur
Ernest
Ernestó
Ernir
Ernst
Eron
Erpur
Esajas
Esaú
Esekíel
Esjar
Eskil
Eskur
Esmar
Esra
Estefan
Evald
Evgenius
Evert
Evin
Eyberg
Eyjólfur
Eylaugur
Eyleifur
Eymar
Eymundur
Eyríkur
Eysteinn
Eyvar
Eyvindur
Eyþór
Fabrisíus
Faðir
Falgeir
Falkor
Falur
Fannar
Fannberg
Fanngeir
Fastur
Fáfnir
Felix
Fengur
Fenrir
Fenrisúlfur
Ferdinand
Ferdínand
Feykir
Filip
Filippus
Finn
Finnbjörn
Finnbogi
Finngeir
Finnjón
Finnlaugur
Finnur
Finnvarður
Fífill
Finnviður
Fjalar
Fjólar
Fjólmundur
Fjölnir
Fjölvar
Fjörnir
Flemming
Flosi
Flóki
Flórent
Flóvent
Forni
Fólki
Franch
Francis
Frank
Franklín
Frans
Franz
Fránn
Frár
Frenni
Freybjörn
Freygarður
Freymar
Freymóður
Freymundur
Frey
Freyr
Freysteinn
Freyviður
Freyþór
Freysi
Fritz
Friðberg
Friðbergur
Friðbert
Friðbjörn
Friðfinnur
Friðgeir
Friðjólfur
Friðjón
Friðlaugur
Friðleifur
Friðmann
Friðmar
Friðmundur
Friðólfur
Friðolin
Friðrik
Friðþór
Frosti
Frímann
Fróði
Fróðmar
Funi
Fúsi
Fylkir
Gabríel
Galdur
Gamalíel
Garðar
Garður
Garibaldi
Garpur
Garri
Gaui
Gaukur
Gauti
Gautrekur
Gautur
Gautviður
Geir
Geirarður
Geirfinnur
Geirharður
Geirhvatur
Geirlaugur
Geirleifur
Geirmundur
Geirólfur
Geirröður
Geirtryggur
Geirvaldur
Geirþjófur
Geisli
Gellir
Georg
Gerald
Gerðar
Geri
Gestur
Gilbert
Gilmar
Gils
Gissur
Gizur
Gídeon
Gígjar
Gísli
Gjúki
Glói
Glúmur
Gneisti
Gnúpur
Gnýr
Gormur
Goði
Goðmundur
Gottharður
Gottskálk
Gottsveinn
Grani
Grankell
Gregor
Greipur
Gretar
Grettir
Grímar
Grími
Grímkell
Grímlaugur
Grímnir
Grímólfur
Grímur
Grímúlfur
Grubbi
Guddi
'Guðberg
Guðbergur
Guðbjarni
Guðbjartur
Guðbjörn
Guðbrandur
Guðfastur
Guðfinnur
Guðfreður
Guðgeir
Guðjón
Guðlaugur
Guðleifur
Guðleikur
Guðmann
Guðmar
Guðmon
Guðmundur
Guðni
Guðráður
Guðröður
Guðstein
Guðvarður
Guðveigur
Guðvin
Guðþór
Gummi
Gumi
Gunnar
Gunnberg
Gunnbjörn
Gunndór
Gunngeir
Gunnhallur
Gunni
Gunnlaugur
Gunnleifur
Gunnólfur
Gunnóli
Gunnröður
Gunnsteinn
Gunnvaldur
Gunnþór
Gustav
Gutti
Guttormur
Gústaf
Gústav
Gvöndur
Gylfi
Gyrðir
Gýgjar
Gýmir
Haddur
Hafberg
Hafgrímur
Hafliði
Hafnar
Hafni
Hafsteinn
Hafþór
Hagar
Hagalín
Hagbarður
Hagbert
Haki
Hakvin
Hallberg
Hallbjörn
Halldór
Hallfreður
Hallgarður
Hallgeir
Hallgils
Hallgrímur
Halli
Hallkell
Hallmann
Hallmar
Hallmundur
Hallsteinn
Hallur
Hallvarður
Hallvor
Hallþór
Hamar
Hannes
Hannibal
Hans
Harald
Harri
Harry
Harrý
Haraldur
Hartmann
Hartvig
Hauksteinn
Haukur
Haukvaldur
Heikir
Heilmóður
Heimir
Heinrekur
Hein
Heini
Heiðar
Heiðarr
Heiðberg
Heiðbert
Heiðlindur
Heiðmann
Heiðmar
Heiðmundur
Heiðrekur
Hektor
Helgi
Helli
Helmút
Hemmert
Hendrik
Henning
Henrik
Henry
Henrý
Herbert
Herbjörn
Herfinnur
Hergeir
Hergill
Hergils
Herjólfur
Herlaugur
Herleifur
Herleikur
Herluf
Hermann
Hermundur
Hermóður
Hersir
Hersteinn
Hersveinn
Hervar
Hervarður
Hervin
Hilaríus
Hilbert
Hildar
Hildibergur
Hildibrandur
Hildigeir
Hildiglúmur
Hildigunnar
Hildimar
Hildimundur
Hildingur
Hildir
Hildiþór
Hildor
Hilmar
Hilmir
Himri
Hinrik
Hjallkár
Hjalti
Hjarnar
Hjálmar
Hjálmgeir
Hjálmtýr
Hjálmur
Hjálmþór
Hjarnar
Hjörleifur
Hjörtur
Hjörtþór
Hjörvar
Hleiðar
Hleinar
Hlini
Hljómur
Hlynur
Hlégestur
Hlér 
Hlífar
Hlíðar
Hlíðberg
Hlöðmundur
Hlöður
Hlöðvarður
Hlöðver
Hnefill
Hnikar
Hnikarr
Holgeir
Holti
Hrafn
Hrafnar
Hrafnbergur
Hrafnkell
Hrannar
Hrappur
Hraunar
Hreggviður
Hreimur
Hreinn
Hreinur
Hreiðar
Hreiðar Már
Hreiðmar
Hringo
Hringur
Hrollaugur
Hrolleifur
Hrærekur
Hrímnir
Hróaldur
Hróar
Hróbjartur
Hrói
Hróðgeir
Hróðmar
Hróðvar
Hróðólfur
Hrólfur
Hrómundur
Hrútur
Hugberg
Hugi
Huginn
Hugleikur
Hugo
Huldar
Hvannar
Hyltir
Hákan
Hákon
Háleygur
Hálfdan
Hálfdán
Hámundur
Hárekur
Hárlaugur
Hárður
Hásteinn
Hávar
Hávarður
Hængur
Hænir
Héðinn
Híram
Hólm
Hólmar
Hólmbert
Hólmfastur
Hólmgeir
Hólmgrímur
Hólmkell
Hólmsteinn
Hólmþór
Hóseas
Högni
Hörður
Höskuldur
Höður
Húbert
Húgó
Húmi
Húnbogi
Húni
Húnn
Húnröður
Ían
Iðar
Illugi
Ími
Immanúel
Indriði
Ingar
Ingberg
Ingi
Ingiberg
Ingibergur
Ingibert
Ingibjartur
Ingibjörn
Ingileifur
Ingimagn
Ingimann
Ingimar
Ingimundur
Ingivaldur
Ingiþór
Ingjaldur
Ingmar
Ingvaldur
Ingvar
Ingólfur
Ingþór
Ísak
Ísar
Ísarr
Ísgeir
Ísidór
Ísleifur
Ísmael
Ísólfur
Ívan
Ívar
Jack
Jafet
Jaki
Jakob
Jakop
Jan
Jani
Janus
Jarl
Jason
Játgeir
Játmundur
Játvarður
Jenni
Jens
Jeremías
Jes
Jesper
Jochum
Johan
John
Joshua
Jost
Jóakim
Jóann
Jóar
Jóel
Jóhann
Jóhannes
Jói
Jómar
Jómundur
Jon
Jón
Jónar
Jónas
Jónatan
Jónbjörn
Jóndór
Jóngeir
Jónmundur
Jonni
Jónsteinn
Jónþór
Jort
Jósafat
Jósavin
Jósef
Jósep
Jósias
Jósteinn
Jósúa
Jóvin
Júlí
Júlían
Júlíus
Júníus
Júrek
Jökull
Jörfi
Jörgen
Jörmundur
Jörn
Jörundur
Jörvar
Jörvi
(Kain)
Kaj
Kakali
Kaldi
Kaleb
Kálfur
Kalli
Kalman
Kalmann
Kalmar
Kaprasíus
Karel
Karkur
Karl
Karles
Karli
Karvel
Kasper
Katarínus
Kató
Kár
Kári
Ketilar
Ketilbjörn
Ketilfastur
Ketill
Ketilmundur
Kiljan
Kim
Kjalar
Kjallakur
Kjaran
Kjartan
Kjell
Klas
Klemens
Klemenz
Kláus
Klængur
Knútur
Knörr
Koðrán
Kolbeinn
Kolbjörn
Kolfinnur
Kolgrímur
Kolmar
Kolskeggur
Kolur
Kolviður
Konni
Konráð
Konstantínus
Kormákur
Kornelius
Kort
Kópur
Kristall
Kristberg
Kristbergur
Kristbjörn
Kristdór
Kristens
Krister
Kristfinnur
Kristgeir
Kristian
Kristinn
Kristján
Kristjón
Kristlaugur
Kristleifur
Kristmann
Kristmar
Kristmundur
Kristófer
Kristvaldur
Kristvarður
Kristvin
Kristþór
Krummi
Kveldúlfur
Lambert
Lars
Lassi
Laufar
Lauritz
Lár
Lárentíus
Lárus
Leiðólfur
Leifur
Leiknir
Leon
Leonard
Leonardo
Leonhard
Leó
Leópold
Leví
Liljar
Lindar
Lindberg
Lindormur
Línberg
Líni
Linnar
Linus
Ljósálfur
Ljótur
Ljúfur
Loðmundur
Loftur
Logi
Loki
Loðinn
Lórens
Lórenz
Ludvig
Lúðvíg
Lúðvík
Lúkas
Lúter
Lúther
Lýður
Lýtingur
Maggi
Magngeir
Magni
Magnús
Magnús Agnar
Magnþór
Makan
Malkolm
Mandor
Manfred
Manfreð
Manni
Manúel
Mar
Marbjörn
Marel
Margeir
Margrímur
Mari
Marijón
Marinó
Marías
Marís
Maríus
Marjón
Markús
Markþór
Maron
Marri
Mars
Marsellíus
Marteinn
Marten
Marthen
Martin
Marvin
Matteus
Mathías
Matthías
Matti
Mattías
Max
Máni
Már
Márus
Mekkinó
Melker
Melkólmur
Mensalder
Merlin
Methúsalem
Metúsalem
Meyvant
Michael
Mikael
Mikjáll
Mías
Mímir
Mír
Mjölnir
Moritz
Morten
Mórits
Móses
Muggur
Muni
Muninn
Múli
Myrkvi
Mýrkjartan
Mörður
Nanni
Nannúlfur
Narfi
Narok
Natan
Natanael
Nataníel
Neisti
Neptúnus
Nikodemus
Nikolai
Nikolas
Nikulás
Nils
Nissi
Níels
Níls
Njáll
Njörður
Noak
Nonni
Norbert
Nori
Norðmann
Normann
Nóel
Nói
Nóni
Nóvember
Númi
Nökkvi
Oddar
Oddbergur
Oddbjörn
Oddfreyr
Oddgeir
Oddi
Oddkell
Oddleifur
Oddmar
Oddsteinn
Oddur
Oddvar
Oddþór
Oktavíus
Októ
Októvíus
Olaf
Olgeir
Oliver
Olivert
Orfeus
Ormar
Ormur
Orni
Orri
Orvar
Ossian
Ossur
Otkell
Otri
Otti
Ottó
Otur
Óðinn
Ódysseifs
Ófeigur
Ólafur
Óli
Óliver
Ólíver
Ómar
Ómi
Óskar
Ósvald
Ósvaldur
Ósvífur
Óttar
Óttarr
Palli
Parmes
Patrekur
Patrick
Patrik
Páll
Pálmar
Pálmi
Per
Peter
Pétur
Pjetur
Príor
Rafael
Rafn
Rafnar
Rafnkell
Ragnar
Ragni
Ragnmundur
Ragnvaldur
Ragúel
Randver
Rannúlfur
Rannver
Rasmus
Ráðgeir
Ráðvarður
Reginbaldur
Reginn
Reidar
Reifnir
Reimar
Reinar
Reinhart
Reynald
Reynar
Reynharður
Reynhold
Reynir
Reyr
Richard
Rikharð
Ríkarður
Ríkharð
Ríkharður
Rínar
Ríó
Rolf
Róbert
Rólant
Rómeó
Rósant
Rósar
Rósberg
Rósenberg
Rósi
Rósinberg
Rósinkar
Rósinkrans
Rósmann
Rósmundur
Rudolf
Runfastur
Runólfur
Rún
Rúben
Rúdólf
Rúnar
Rúni
Rúrik
Rútur
Röðull
Rögnvaldur
Rögnvar
Rökkvi
Safír
Sakarías
Salmann
Salmar
Salmundur
Salómon
Salvar
Samson
Samúel
Sandel
Sandri
Sandur
Saxi
Sebastian
Sebastían
Seifur
Seimur
Serkvir
Sesar
Sesil
Set
Sibbi
Sigbergur
Sigbert
Sigbjartur
Sigbjörn
Sigdór
Sigfastur
Sigfinnur
Sigfreður
Sigfús
Siggeir
Siggi
Sighvatur
Sigjón
Siglaugur
Sigleifur
Sigmann
Sigmar
Sigmundur
Signar
Signi
Sigríkur
Sigsteinn
Sigtryggur
Sigtýr
Sigur
Sigurbaldur
Sigurberg
Sigurbergur
Sigurbjarni
Sigurbjartur
Sigurbjörn
Sigurbrandur
Sigurdór
Sigurður
Sigurfinnur
Sigurgeir
Sigurgestur
Sigurgísli
Sigurgrímur
Sigurhans
Sigurhjörtur
Sigurjón
Sigurkarl
Sigurlaugur
Sigurlás
Sigurleifur
Sigurliði
Sigurlinni
Sigurmann
Sigurmar
Sigurmon
Sigurmundur
Sigurnýas
Sigurnýjas
Siguroddur
Siguróli
Sigurpáll
Sigursteinn
Sigursveinn
Sigurvaldi
Sigurvin
Sigurþór
Sigvaldi
Sigvaldur
Sigvarður
Sigviður
Sigþór
Sindri
Símon
Sírnir
Sírus
Sivarður
Sivar
Sixten
Sjafnar
Skafti
Skallgrímur
Skapti
Skarphéðinn
Skefill
Skeggi
Skíði
Skírnir
Skjöldur
Skorri
Skuggi
Skúli
Skúta
Skæringur
Smári
Smiður
Smyrill
Snjólaugur
Snjólfur
Snorri
Snæbjörn
Snæhólm
Snælaugur
Snær
Snæringur
Snævar
Snævarr
Snæþór
Soffanías
Sophanías
Sophus
Sófónías
Sófus
Sólberg
Sólbergur
Sólbjartur
Sólbjörn
Sólimann
Sólmar
Sólmundur
Sólon
Sólver
Sólvin
Spartakus
Stanley
Starkaður
Stari
Starri
Stefan
Stefán
Stefnir
Steinar
Steinarr
Steinberg
Steinbergur
Steinbjörn
Steindór
Steinfinnur
Steingrímur
Steini
Steinkell
Steinmann
Steinmar
Steinmóður
Steinn
Steinólfur
Steinröður
Steinvarður
Steinþór
Stirnir
Stígur
Storbjörn
Stormur
Stórólfur
Sturi
Sturla
Sturlaugur
Styr
Styrbjörn
Styrkár
Styrmir
Sumarliði
Suni
Svafar
Svali
Svan
Svanberg
Svanbergur
Svanbjörn
Svangeir
Svanhólm
Svanlaugur
Svanmundur
Svanur
Svanþór
Svavar
Sváfnir
Sveinberg
Sveinbjörn
Sveinjón
Sveinlaugur
Sveinmar
Sveinn
Sveinungi
Sveinþór
Svenni
Sverker
Sverkil
Sverrir
Svölnir
Svörfuður
Sýrus
Sæberg
Sæbergur
Sæbjörn
Sælaugur
Sæmann
Sæmundur
Sær
Sævald
Sævaldur
Sævar
Sævin
Sæþór
Sölmundur
Sölvar
Sölvi
Sören
Sörli
Sýrus
Tage
Tandri
Tarfur
Ted
Teitur
Theobald
Theodór
Theódór
Theofil
Thomas
Thor
Thorberg
Thordur
Thorfinnur
Thorgeir
Thorkil
Thorleif
Thorstein
Thorvald
Tiburtius
Tindar
Tindri
Tindur
Tinni
Tímon
Tímoteus
Tímóteus
Tístran
Tjelvar
Tjörfi
Tjörvi
Tobbi
Tobías
Torfi
Tóbías
Tómas
Tór
Tosti
Trausti
Tristan
Trondur
Trostan
Trotti
Trúmann
Tryggvi
Tumas
Tumi
Turi
Tycho
Tyrfingur
Tyrgils
Týr
Ubbi
Uggi
Ulrich
Uni
Unnar
Unnbjörn
Unndór
Unnsteinn
Unnþór
Urðar
Úddi
Uddur
Úlfar
Úlfgangur
Úlfgeir
Úlfhéðinn
Úlfhrafn
Úlfkell
Úlfljótur
Úlfur
Úlrik
Unnar
Úranus
Vagn
Valberg
Valbergur
Valbjörn
Valbrandur
Valdemar
Valdi
Valdimar
Valdór
Valentín
Valentínus
Valfriður
Valgarð
Valgarður
Valgeir
Valíant
Vallaður
Valli
Valmar
Valmundur
Valsteinn
Valter
Valtýr
Valur
Valves
Valþór
Varði
Varmar
Vatnar
Váli
Vápni
Vébjörn
Végeir
Veigar
Veigur
Vékell
Vélaugur
Veli
Vémundur
Ver
Vermundur
Verner
Vernharð
Vernharður
Vestar
Vésteinn
Vestmar
Veturliði
Victor
Vífill
Vigbjörn
Vigfastur
Vigfús
Viggó
Vígharður
Víglundur
Vígmar
Vígmundur
Vignir
Vigri
Vígsteinn
Vigtýr
Vigur
Vígþór
Vikar
Víkingur
Viktor
Vilberg
Vilbergur
Vilbert
Vilbjörn
Vilbogi
Vilbrandur
Vilgautur
Vilgeir
Vilhelm
Vilhjálmur
Viljar
Vilji
Villi
Vilmar
Vilmundur
Vima
Virgill
Viðar
Vöggur
Volmar
Völundur
Vopni
Vorm
Vörður
Viðar
Víðar
Víðir
Walter
Wilhelm
Willard
William
Willum
Ylur
Ymir
Ýmir
Yngvar
Yngvi
Ýrar
Yrkill
Zakaría
Zakarías
Zophanías
Zophonías
Zóphanías
Zóphonías
Þangbrandur
Þengill
Þeyr
Þiðrandi
Þiðrik
Þjálfi
Þjóstar
Þjóstólfur
Þjóðbjörn
Þjóðgeir
Þjóðleifur
Þjóðmar
Þjóðólfur
Þjóðrekur
Þjóðvarður
Þor
Þór
Þórarinn
Þorberg
Þorbergur
Þórbergur
Þorbjörn
Þorbrandur
Þore
Þorfinnur
Þorgarður
Þorgautur
Þorgeir
Þorgestur
Þorgils
Þorgísl
Þorgnýr
Þórgnýr
Þorgrímur
Þórgrímur
Þórhaddur
Þórhalli
Þórhallur
Þórir
Þorkell
Þorketill
Þorlaugur
Þórlaugur
Þorlákur
Þorleifur
Þórleifur
Þorleikur
Þórlindur
Þormar
Þórmar
Þormóður
Þormundur
Þórmundur
Þóroddur
Þorólfur
Þórólfur
Þórormur
Þórörn
Þorri
Þorsteinn
Þórsteinn
Þorúlfur
Þorvaldur
Þorvar
Þorvarður
Þórður
Þrastar
Þrymur
Þráinn
Þrándur
Þröstur
Þrúðmar
Þyrnir
Ægir
Æsir
Ævar
Ævarr
Ögmundur
Ögri
Ölnir
Ölver
Ölvir
Öndólfur
Önundur
Örlaugur
Örlygur
Örn
Örnólfur
Örnsteinn
Örvar
Össur
